place_id,name,address,types,region,lad_code,imd_quintile,is_true_salon,notes
ChIJ6-qsXs79bEgRbV1_buqDO4w,Ali's Nails and Beauty Co,"West, Higher Hawson, Buckfastleigh TQ11 0HX, UK",beautician;establishment;point_of_interest,SW_England,E07000044,2,False,Web-checked: no UV sunbed services found
ChIJEeki4IblbEgRjDI5lUZDr4A,Exquisite Beauty,"Blachford Rd, Ivybridge PL21 9HU, UK",beauty_salon;establishment;nail_salon;point_of_interest;service,SW_England,E07000044,2,False,Web-checked: no UV sunbed services found
ChIJ0bsbGqHfbEgRIhPdY8dLduE,Beauty By MERAKI,"The Old Workhouse, Higher Union Rd, Kingsbridge TQ7 1EQ, UK",beauty_salon;establishment;hair_care;hair_salon;health;massage;massage_spa;nail_salon;point_of_interest;service;spa;tanning_studio,SW_England,E07000044,3,True,
ChIJ343rTLQebUgRKy677V6KzU8,Touch of Beauty,"A3122, Sidbro House, Totnes TQ9 7DE, UK",beauty_salon;establishment;massage;point_of_interest;service,SW_England,E07000044,3,False,Web-checked: no UV sunbed services found
ChIJ8aLn69TfbEgRHRdDvCJzaoc,Shapers Toning And Beauty Salon,"Unit 2a the Weymouth building Station Yard Industrial Estate, Kingsbridge TQ7 1ES, UK",beauty_salon;establishment;establishmentbeauty_salon;fitness_center;gym;health;nail_salon;point_of_interest;service;sports_activity_location;tanning_studio,SW_England,E07000044,3,True,
ChIJA5imIzEfbUgRcDPHePyDTq4,LKJBeauty,"The Forces, Totnes TQ9 7DJ, UK",beauty_salon;establishment;point_of_interest;service,SW_England,E07000044,3,False,Web-checked: no UV sunbed services found
ChIJAzWmOM3sbEgR-z56GejcCd0,Bodytemple Treatments,"5 Parks Dr, Plymstock, Plymouth PL9 9FG, UK",beauty_salon;doctor;establishment;hair_care;health;massage;massage_spa;point_of_interest;service;spa;tanning_studio,SW_England,E07000044,3,True,
ChIJG9a6GlbhbEgR1bwHExixROE,Bronzed & Beautiful,"South Hams Business Park, Churchstow, Kingsbridge TQ7 3QH, UK",beauty_salon;establishment;point_of_interest;service,SW_England,E07000044,3,True,
ChIJIWiNYMyfbWwR5vNWMH8OW24,Bespoke Bronze • Luxury Spray Tanning,"Court lane, Thurlestone, Kingsbridge TQ7 3NE, UK",establishment;point_of_interest;service;tanning_studio,SW_England,E07000044,3,True,
ChIJL-xpiiEZbUgRmZbKXB2HYo0,Strete Gate,"Strete Gate, Dartmouth TQ6 0RR, UK",establishment;point_of_interest;tourist_attraction,SW_England,E07000044,3,False,No tanning evidence in name or type
ChIJLcl2DescbUgR5th9ISncDi4,FAB,"24 Fore St, Totnes TQ9 5DX, UK",beauty_salon;clothing_store;establishment;nail_salon;point_of_interest;service;store;womens_clothing_store,SW_England,E07000044,3,False,Web-checked: no UV sunbed services found
ChIJVyHryL4ZbUgRm28AiRWo5fc,River & Rose,"5 Higher St, Dartmouth TQ6 9RB, UK",beauty_salon;establishment;massage;massage_spa;nail_salon;point_of_interest;service;spa,SW_England,E07000044,3,False,Web-checked: no UV sunbed services found
ChIJX4UTu5XlbEgRlxKeYbQouHc,Christine James Beauty Salon,"22 Fore St, Ivybridge PL21 9AB, UK",beauty_salon;establishment;nail_salon;point_of_interest;service,SW_England,E07000044,3,False,Web-checked: no UV sunbed services found
ChIJX_jIz-scbUgRwokwcikrjis,Greenlife,"1-2, Birdwood Court Market Square, High St, Market Square, Totnes TQ9 5SG, UK",establishment;food;food_store;grocery_store;health;health_food_store;point_of_interest;store,SW_England,E07000044,3,False,Supermarket / food retailer
ChIJYSlLpV3tbEgR62PX3vOx8PM,Korina Jayne Bespoke Spray Tan Artist Plymouth and Surrounding areas,"15 Titan Ave, Plymouth PL9 8QR, UK",establishment;point_of_interest;service;tanning_studio,SW_England,E07000044,3,True,
ChIJbQEQZuocbUgRTUPxw1sBjyA,Morrisons,"Coronation Rd, Totnes TQ9 5GN, UK",establishment;food;food_store;grocery_store;point_of_interest;store;supermarket,SW_England,E07000044,3,False,Supermarket / food retailer
ChIJhwIHw74ZbUgRyw46Sfi5iZU,Boots,"5-6 The Quay, Dartmouth TQ6 9PS, UK",beauty_salon;child_care_agency;clothing_store;cosmetics_store;electronics_store;establishment;gift_shop;home_goods_store;point_of_interest;service;store,SW_England,E07000044,3,False,Chain pharmacy or foot clinic - no sunbeds
ChIJne1u2egcbUgReRNzwHTXHwQ,Browns of Totnes,"92 High St, Totnes TQ9 5SN, UK",clothing_store;establishment;point_of_interest;store,SW_England,E07000044,3,False,Clothing store
ChIJoY0XCOscbUgRJOswacb-Arc,Superdrug,"29 Fore St, Totnes TQ9 5HN, UK",body_art_service;establishment;point_of_interest;store,SW_England,E07000044,3,False,No tanning evidence in name or type
ChIJz-7CV07fbEgR_UiWuvl5ex4,LKJBEAUTY,"18 Retreat Cl, Kingsbridge TQ7 1EH, UK",beauty_salon;establishment;point_of_interest;service,SW_England,E07000044,3,False,Web-checked: no UV sunbed services found
ChIJEzcILqzhbEgR9bm35IGL8aQ,FOAK,"11 Fore St, Kingsbridge TQ7 1PG, UK",beauty_salon;establishment;establishmenthair_salon;hair_care;hair_salon;point_of_interest;service,SW_England,E07000044,4,False,Web-checked: no UV sunbed services found
ChIJIeJsfrnpbEgRa0XoFU0yVTk,Wadham Rocks Beach,"Plymouth PL8 1HG, UK",establishment;point_of_interest;public_bath,SW_England,E07000044,4,False,No tanning evidence in name or type
ChIJMcyaryDfbEgRdVydtoEXXlo,"Jordan Tucker | Lashes, Brows & Beauty – Kingsbridge","11 Fore St, Kingsbridge TQ7 1PG, UK",beauty_salon;establishment;establishmentbeauty_salon;hair_care;makeup_artist;nail_salon;point_of_interest;service;tanning_studio,SW_England,E07000044,4,True,
ChIJt1ZMBdbfbEgRMCFM_3XNaZA,Pure Beauty,"Charles Head & Son, 113A Fore St, Kingsbridge TQ7 1AB, UK",beauty_salon;establishment;nail_salon;point_of_interest;service,SW_England,E07000044,4,False,Web-checked: no UV sunbed services found
ChIJeZccymzlbEgRXc3Z6p33rMQ,Sienna X by Pippa,"4 Cursons Way, Woodlands, Ivybridge PL21 9XE, UK",establishment;point_of_interest;service;tanning_studio,SW_England,E07000044,5,True,
ChIJ1xy-XEwJbUgR_TzzFyxxioY,Eutopia,"14 Teign St, Teignmouth TQ14 8EG, UK",beauty_salon;establishment;nail_salon;point_of_interest;service,SW_England,E07000045,1,False,Web-checked: no UV sunbed services found
ChIJxVc-0doFbUgRfyIFtSM3imY,Consol Tanning Studio,"60 Queen St, Newton Abbot TQ12 2EW, UK",establishment;point_of_interest;service;tanning_studio,SW_England,E07000045,1,True,
ChIJLwThgSgFbUgRoKsswBEdako,The Bronzing Booth,"Flat 2, The Old Telephone Exchange, 83-85 Queen St, Newton Abbot TQ12 2BG, UK",establishment;point_of_interest;service;tanning_studio,SW_England,E07000045,2,True,
ChIJNbaAqdoFbUgRUl5SZ8vev_A,ELs Tanning & Beauty,"25 East St, Newton Abbot TQ12 2JP, UK",beauty_salon;body_art_service;establishment;hair_care;massage;massage_spa;nail_salon;point_of_interest;service;spa;tanning_studio,SW_England,E07000045,2,True,
ChIJaSl0tc8FbUgRZNfFkcRXbUA,Brown Beauty & Tanning,"8 Powderham Rd, Newton Abbot TQ12 1EU, UK",beauty_salon;establishment;point_of_interest;service,SW_England,E07000045,2,True,
ChIJof9WFyEHbUgRuz-M3U2s8ow,M&S Simply Food,"Newton Rd, Bovey Tracey, Newton Abbot TQ12 6SJ, UK",convenience_store;establishment;food;food_store;grocery_store;point_of_interest;restaurant;sandwich_shop;store;supermarket,SW_England,E07000045,2,False,Supermarket / food retailer
